assignment_id,num,max_grade,description
1,1,50,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
1,2,45,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
2,1,33,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
2,2,66,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
3,1,33,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
3,2,65,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
4,1,19,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
4,2,38,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
5,1,19,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
5,2,36,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
6,1,20,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
6,2,41,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus
7,1,50,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
7,2,47,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
8,1,30,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
8,2,55,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
9,1,20,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
9,2,39,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
10,1,22,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
10,2,44,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse
11,1,18,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
11,2,36,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
12,1,18,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
12,2,35,auctor gravida sem praesent id massa id nisl venenatis lacinia
13,1,33,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
13,2,66,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
14,1,25,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor
14,2,49,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
15,1,17,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
15,2,36,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit
16,1,30,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
16,2,60,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
17,1,20,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac
17,2,41,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
18,1,19,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
18,2,38,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
19,1,31,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
19,2,62,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in
20,1,22,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
20,2,45,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
21,1,28,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
21,2,55,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
22,1,24,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
22,2,49,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
23,1,19,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
23,2,37,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
24,1,27,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
24,2,54,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
25,1,17,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
25,2,34,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
26,1,33,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
26,2,64,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus
27,1,20,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
27,2,41,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
28,1,24,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
28,2,47,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
29,1,33,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
29,2,65,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
30,1,17,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
30,2,35,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse